# World J Transl Med 2014 April 12; 3(1): 17-30
# NESG target # labelling # MW (kDa) # 15N T1 [ms] # 15N T2 [ms] #T1/T2 # tc [ns]
PsR76A (NC5) 7.2 478 128 3.734375 5.1
VfR117 (NC) 11.2 605 119 5.084034 6.3
SyR11 (NC5) 12.4 630 104 6.057692 7.1
ER541-37-162 (NC5) 15.8 729 66.5 10.96241 10.0
ER540 (NC5) 18.8 909 66.5 13.66917 11.3
SoR190 (NC) 13.8 697.5 100.9 6.912785 7.7
TR80 (NC5) 10.5 612.8 102.9 5.955296 7.0
Ubiquitin (NC) 9 441.8 144.6 3.055325 4.4
HR2873B (NC) 10.7 492 115 4.278261 5.7
B-domain (NC) 7.2 423.5 153.3 2.762557 4.05
BcR97A (NC) 13.1 705.8 80.6 8.756824 8.8
PfR193A (NC) 13.6 733.9 80.9 9.071693 9.0
MvR76 (NC) 20.2 1015 64.5 15.73643 12.2
DvR115G (NC) 10.9 608.7 115.6 5.265571 6.5
MrR110B (NC5) 11.8 707 99.2 7.127016 7.8
VpR247 (NC5) 12.5 661.2 88.3 7.488109 8.05
BcR147A (NC) 11.9 645 104 6.201923 7.2
WR73 (NC5) 21.9 1261 41.3 30.53269 13.0
NsR431C (NC5) 16.8 855.5 71.2 12.01545 10.6
StR82 (NC) 9.2 537.3 100.4 5.351594 6.6
